"miRNA","Targets"
"hsa-miR-221-3p","MAPK10,RGAG4,ARMCX1,ZCCHC24,RECK"
"hsa-miR-542-3p","MXI1"
"hsa-miR-21-5p","JAM2,CKMT2,FIGF,WISP2,PKNOX2,CADM3,CAB39L,CCDC69,ANKRD53,RNF11,ASPA,GFRA2,PBX1,GAB1,GSN,CBX7,CRYAB,GPX3,ADRA1A,DPT,ADHFE1"
"hsa-miR-148b-3p","TMEM43"
