"miRNA","gene","corr"
"hsa-miR-328","Empty 0",
"hsa-miR-130a-3p","Empty 0",
"hsa-miR-181c-3p","Empty 0",
"hsa-miR-20a-5p","Empty 0",
"hsa-let-7b-5p","Empty 0",
"hsa-miR-378a-5p","Empty 0",
"hsa-miR-193a-3p","Empty 0",
"hsa-miR-146b-5p","Empty 0",
"hsa-miR-378a-3p","Empty 0",
"hsa-miR-629-5p","Empty 0",
"hsa-miR-98-5p","Empty 0",
"hsa-miR-15b-5p","Empty 0",
"hsa-miR-130b-5p","Empty 0",
"hsa-miR-34a-5p","Empty 0",
"hsa-miR-30c-5p","Empty 0",
"hsa-miR-107","Empty 0",
"hsa-miR-375","Empty 0",
"hsa-miR-183-5p","Empty 0",
"hsa-miR-100-5p","Empty 0",
"hsa-miR-155-5p","Empty 0",
"hsa-miR-181d","Empty 0",
"hsa-miR-708-5p","Empty 0",
"hsa-miR-340-3p","Empty 0",
"hsa-miR-126-5p","Empty 0",
"hsa-miR-27b-5p","Empty 0",
"hsa-miR-450b-5p","Empty 0",
"hsa-miR-1180","Empty 0",
"hsa-miR-21-5p","CXorf36",-0.610761274834897
"hsa-miR-21-5p","NR3C1",-0.6322649939624977
"hsa-miR-21-5p","MME",-0.6653938839137217
"hsa-miR-21-5p","FOXO1",-0.6004536512752437
"hsa-miR-21-5p","C18orf34",-0.6233418382147048
"hsa-miR-21-5p","JAM2",-0.6420138976169815
"hsa-miR-21-5p","CCL14",-0.601053057834786
"hsa-miR-21-5p","FIGF",-0.6375383610482279
"hsa-miR-21-5p","NKAPL",-0.6328663182510094
"hsa-miR-21-5p","F8",-0.6149716460385751
"hsa-miR-21-5p","CLIC5",-0.6223470005967766
"hsa-miR-21-5p","IL33",-0.6399933969352511
"hsa-miR-21-5p","CHL1",-0.6140953651832516
"hsa-miR-21-5p","LOC572558",-0.6344566030584066
"hsa-miR-21-5p","KCTD12",-0.6294422978671684
"hsa-miR-21-5p","CDH13",-0.6000247685495625
"hsa-miR-21-5p","SHE",-0.6202322731429833
"hsa-miR-21-5p","TGFBR2",-0.6425755514423943
"hsa-miR-21-5p","IGSF10",-0.6095836401375804
"hsa-miR-21-5p","TSPAN7",-0.6271003532578117
"hsa-miR-21-5p","RBMS3",-0.6359696270564631
"hsa-miR-21-5p","MYCT1",-0.6188480014384181
"hsa-miR-21-5p","CCDC46",-0.6105802355415575
"hsa-miR-21-5p","TEF",-0.6481671550592872
"hsa-miR-21-5p","LMOD1",-0.6181595046690425
"hsa-miR-21-5p","GABARAPL1",-0.6055156085128326
"hsa-miR-21-5p","LRRTM2",-0.6107801333237883
"hsa-miR-21-5p","ANXA1",-0.6185610468722003
"hsa-miR-21-5p","HLF",-0.6747420163251207
"hsa-miR-21-5p","DST",-0.6111663676856406
"hsa-miR-21-5p","KANK1",-0.6261871325815359
"hsa-miR-21-5p","ADAMTS5",-0.6846656874504002
"hsa-miR-21-5p","SYN2",-0.6241497064526246
"hsa-miR-21-5p","FXYD1",-0.6114062870263962
"hsa-miR-21-5p","BMX",-0.6020326697904813
"hsa-miR-21-5p","LHFP",-0.6242220115722962
"hsa-miR-21-5p","EDNRB",-0.6692032449179389
"hsa-miR-21-5p","CFL2",-0.6119101491031824
"hsa-miR-21-5p","CDC14C",-0.6246457479035075
"hsa-miR-21-5p","LDB2",-0.6445192407605616
"hsa-miR-21-5p","KL",-0.6133986896166418
"hsa-miR-21-5p","ERG",-0.6131424716465201
"hsa-miR-21-5p","TACR1",-0.622726919723678
"hsa-miR-21-5p","GIPC2",-0.6646037988645069
"hsa-miR-21-5p","PGM5",-0.6438759906464246
"hsa-miR-21-5p","PAMR1",-0.605478416551392
"hsa-miR-21-5p","ABCA10",-0.6449294890796375
"hsa-miR-21-5p","FMO2",-0.6497634084733308
