"miRNA","Targets"
"hsa-miR-182-5p","SPOCK2,SCUBE1,MMRN2,GIMAP8,ZNF423,GPD1,WNT3A,ASPA,PALM2-AKAP2,FHL1,HEG1,ROBO4"
"hsa-let-7a-5p","MANF,ULK3,ZNF692,NSUN5P2,STX16,NSUN5P1,C6orf134,SLC39A7,?(5),C19orf46,TMEM184A,RGL3,HCN3,GTPBP3,FLRT1,C6orf125,SLC26A6,PABPC1L,SUZ12P,CHTF18,FASTK"
"hsa-miR-22-3p","SPOCK2,ABCA8,JAM2,TCF21,MFAP4,GPM6A,MMRN2,C19orf59,TGFBR3,HSPB6,C13orf15,PLAC9,ZNF423,SCN4B,GPD1,CHRDL1,ADAMTSL3,FHL1,VWF,SLC19A3,AOC3,C2orf71,LMCD1,SLIT2,ADAMTS8,SLIT3,S1PR1,ADH1B"
"hsa-miR-140-3p","SRPK1"
"hsa-miR-30a-3p","C11orf80,MANF,INTS8,MSTO1,KNTC1,C6orf134,SLC39A7,DBNDD1,CBX4,TMEM184A,STIL,ALDH18A1,SRPK1,C1orf131,SLC35B1,PDCD2L,CCAR1,C1orf112,SPAG4,NSF,COASY,POLR2H,NARF"
"hsa-miR-30c-2-3p","SRPK1,CCAR1,POLR2H"
"hsa-miR-21-5p","FAM162B,C1QTNF2,CLEC3B,CD34,GKN2,TSPAN18,SPOCK2,ABCA8,JAM2,SULT1C4,DKK2,MDGA1,CCL14,C14orf132,FIGF,TCF21,MMRN1,PTPRB,KCNA4,PRSS35,GDF10,GRASP,SLCO2A1,ADRB1,C10orf67,LRRC2,BMPR2,MFAP4,SCUBE1,FABP4,ADRA1D,ODAM,GPM6A,MGC42105,ITGA8,FHL5,VGLL3,ADCY8,SIRPB1,CD93,MFAP3L,SYNM,TCEAL2,KAL1,CDH19,ARHGAP6,LOH3CR2A,CDH13,IL3RA,MMRN2,GPR4,RETN,IGSF10,SLC6A13,CLEC1A,FAM101B,CNTFR,ANGPT4,GPIHBP1,RNF182,DCC,GIMAP8,EPAS1,C19orf59,MYCT1,AGER,TGFBR3,DNASE1L3,OTUD1,HSPB6,C13orf15,GPBAR1,SRPX,PLAC9,CASKIN2,PEAR1,ZNF423,CMTM5,RSPO1,CA4,ACVRL1,CALCRL,CYYR1,HPSE2,NXPH3,OR2W3,SCN4B,MEFV,PTPRQ,SEMA3G,GPD1,CASQ2,FAM150B,ABCB1,DNASE2B,LIMS2,SYN2,IQSEC3,FRMD3,LILRA5,SH2D3C,HYAL2,FLJ37543,FEZ1,MSR1,ACTN2,OR1L8,KANK3,KCNT2,GPR120,ITPRIP,PRKCE,CHRDL1,ADAMTSL3,ANGPTL1,UPK3B,RAPGEF4,EDNRB,FIBIN,STARD8,CASS4,UNC45B,GYPE,NECAB1,SVEP1,WNT3A,NOTCH4,PCDHGA12,ASPA,SYNPO2,SEMA5A,FOXF1,SEMA6D,EMR3,C20orf202,LDB2,TRIM58,TBX3,C5orf23,PALM2-AKAP2,PRX,RS1,GRIK4,SGCG,C10orf116,CLEC14A,NPR3,LYVE1,LPHN2,INMT,GCOM1,LTBP4,CDH5,FHL1,CD5L,BDNF,RTKN2,SOX17,ITLN2,C13orf36,TMEM204,SLC5A4,SFRP5,ARHGEF15,VWF,CLDN5,TAL1,SSTR1,SLC19A3,FMO2,ANKRD1,AOC3,EMR1,C2orf71,GRIA1,LMCD1,GPA33,BTNL9,HEG1,LRRN3,GRRP1,SLIT2,LOC158376,GPX3,EMCN,FAM107A,CCL23,BEX1,PDE2A,CCDC48,FGF10,TEK,ADAMTS8,CHRM2,TNXB,HSPA12B,HOXA4,TMEM88,RAMP3,SLIT3,COLEC10,ADRA1A,CCIN,ST8SIA6,KLF17,HBA1,DUSP27,SDPR,TCEAL7,CD300LG,S1PR1,RXFP1,OR6K3,FOLR3,DARC,RAMP2,SMAD6,SH3GL3,FAT3,FAM46B,NMUR1,ADH1A,OVCH1,ADH1B,NOVA2,STXBP6,ZNF366,PALMD,ST6GALNAC3,ROBO4"
"hsa-miR-338-5p","CBX4,SLC35B1,NSF,COASY"
