"hsa-miR-138-5p","Empty 0",
"hsa-miR-19b-3p","Empty 0",
"hsa-miR-484","Empty 0",
"hsa-miR-379-5p","Empty 0",
"hsa-miR-342-5p","Empty 0",
"hsa-miR-23b-3p","Empty 0",
"hsa-miR-652-3p","Empty 0",
"hsa-miR-17-3p","Empty 0",
"hsa-miR-140-3p","Empty 0",
"hsa-miR-335-5p","Empty 0",
"hsa-miR-625-3p","Empty 0",
"hsa-miR-126-3p","Empty 0",
"hsa-miR-502-3p","Empty 0",
"hsa-miR-339-3p","Empty 0",
"hsa-miR-128","Empty 0",
"hsa-miR-664a-5p","Empty 0",
"hsa-miR-331-5p","Empty 0",
"hsa-miR-497-5p","Empty 0",
"hsa-miR-143-3p","Empty 0",
"hsa-miR-542-3p","Empty 0",
"hsa-miR-423-5p","Empty 0",
"hsa-miR-766-3p","Empty 0",
"hsa-miR-345-5p","Empty 0",
"hsa-miR-218-5p","Empty 0",
"hsa-miR-223-3p","Empty 0",
"hsa-miR-151a-5p","Empty 0",
"hsa-miR-16-5p","Empty 0",
"hsa-miR-125a-5p","Empty 0",
"hsa-miR-450a-5p","Empty 0",
"hsa-miR-374a-3p","Empty 0",
"hsa-miR-150-5p","Empty 0",
"hsa-miR-186-5p","Empty 0",
"hsa-miR-106b-3p","Empty 0",
"hsa-miR-744-3p","Empty 0",
"hsa-miR-222-5p","Empty 0",
"hsa-miR-30a-3p","Empty 0",
"hsa-miR-16-2-3p","Empty 0",
"hsa-miR-3913-5p","Empty 0",
"hsa-miR-598","Empty 0",
"hsa-miR-27b-3p","Empty 0",
"hsa-miR-19b-1-5p","Empty 0",
"hsa-miR-29b-3p","Empty 0",
"hsa-miR-19a-3p","Empty 0",
"hsa-miR-139-5p","ALDH3B1",-0.6038787074028271
"hsa-miR-139-5p","RUNX1",-0.6402435865643522
"hsa-miR-139-5p","PLEKHN1",-0.6063618033461785
"hsa-miR-152","C11orf80",-0.6205024134367543
"hsa-miR-152","ARHGAP23",-0.6175567040890003
"hsa-miR-152","GALNT7",-0.6545405851054739
"hsa-miR-152","PLCD3",-0.6930682163536588
"hsa-miR-152","QSOX1",-0.6019826719112992
"hsa-miR-152","QPCT",-0.6142017921768378
"hsa-miR-152","DOCK9",-0.6034011362183217
"hsa-miR-152","ERBB3",-0.6211653102201226
"hsa-miR-152","DUSP6",-0.6424444764136495
"hsa-miR-152","ICAM1",-0.6515356575326271
"hsa-miR-152","SPATS2L",-0.6971309421711844
"hsa-miR-152","MCTP2",-0.6326524053559596
"hsa-miR-152","TBC1D2",-0.6442477194002799
"hsa-miR-152","MET",-0.6730298692528446
"hsa-miR-152","BID",-0.7153823842823642
"hsa-miR-152","PIAS3",-0.6201233986608581
"hsa-miR-152","LGALS3",-0.65380891554091
"hsa-miR-152","SYTL5",-0.622904848411249
"hsa-miR-152","MST1R",-0.6289525824688117
"hsa-miR-152","PLEKHA4",-0.6393804968834366
"hsa-miR-152","ALDH3B1",-0.6675643382122128
"hsa-miR-152","TUSC3",-0.6612045009364693
"hsa-miR-152","GGCT",-0.6318651085427088
"hsa-miR-152","MTMR11",-0.6959387568309459
"hsa-miR-152","PHYHIP",-0.6396159855426007
"hsa-miR-152","POU2F3",-0.6541595516619347
"hsa-miR-152","RARG",-0.633472093044401
"hsa-miR-152","ETHE1",-0.6258591861348106
"hsa-miR-152","PROS1",-0.6312552177028327
"hsa-miR-152","PLAG1",-0.6283452551785039
"hsa-miR-152","RASD2",-0.627824797441654
"hsa-miR-152","CYP2S1",-0.6130084618594075
"hsa-miR-152","SHROOM4",-0.6255231844242574
"hsa-miR-152","PAPLN",-0.6232708716821842
"hsa-miR-152","PVRL4",-0.622834336921703
"hsa-miR-152","TMEM43",-0.6322457314938164
"hsa-miR-152","GALE",-0.7017278388281004
"hsa-miR-152","SLC35F2",-0.6898539049358573
"hsa-miR-152","ABCC3",-0.6222076035583911
"hsa-miR-152","PDE5A",-0.6545758217136142
"hsa-miR-152","MGAT4B",-0.6533525701734002
"hsa-miR-152","PAPSS1",-0.6818990550767592
"hsa-miR-152","FYN",-0.648995933799164
"hsa-miR-152","SDC3",-0.6176471013707798
"hsa-miR-152","IL17RD",-0.611582662868071
"hsa-miR-152","TIMP1",-0.643741607163412
"hsa-miR-152","SPINT1",-0.6012926578297079
"hsa-miR-152","LIPH",-0.6233176640328654
"hsa-miR-152","TMEM98",-0.618334329564165
"hsa-miR-152","MFGE8",-0.6075757873566987
"hsa-miR-152","SERPINA1",-0.6410497219533172
"hsa-miR-152","GJB3",-0.6266861739763647
"hsa-miR-152","CDC42EP1",-0.6022959948087908
"hsa-miR-152","SEMA4C",-0.6492632397860381
"hsa-miR-152","DTX4",-0.63548663114203
"hsa-miR-152","ZNRF2",-0.6026922496974048
"hsa-miR-152","ANKLE2",-0.6376865055531254
"hsa-miR-152","C6orf174",-0.6141097289150315
"hsa-miR-152","EPS8",-0.6804016025800732
"hsa-miR-152","GRB7",-0.6105303336224155
"hsa-miR-152","ENDOD1",-0.649400394549722
"hsa-miR-152","CLDN1",-0.6361020764227939
"hsa-miR-152","DPP4",-0.6018151999380968
"hsa-miR-152","SYT12",-0.6275843584242834
"hsa-miR-152","VASN",-0.6713753704141078
"hsa-miR-152","MEAF6",-0.6638271235029268
"hsa-miR-152","RPSAP52",-0.608359563673163
"hsa-miR-152","GOLT1A",-0.6182686444756572
"hsa-miR-152","LRG1",-0.6374672478980041
"hsa-miR-152","SDC4",-0.6933170301750373
"hsa-miR-152","DDB2",-0.6240019455367808
"hsa-miR-152","CTTN",-0.6089894700784605
"hsa-miR-152","ECE1",-0.6103543638853043
"hsa-miR-152","RAB27A",-0.6257627647004602
"hsa-miR-152","TMEM41A",-0.6142602499070267
"hsa-miR-152","GABRB2",-0.6298997548477901
"hsa-miR-152","LPAR5",-0.623942839706997
"hsa-miR-152","TMEM173",-0.643989790583509
"hsa-miR-152","PAM",-0.6339804934427463
