"Cluster","Gene"
"HSA-MIR-17-5P","CDKN1A"
"HSA-MIR-181A-5P","CDKN1A"
"HSA-MIR-181A-5P","TWIST1"
"HSA-MIR-181B-5P","VSNL1"
"HSA-MIR-182-5P","CDKN1A"
"HSA-MIR-182-5P","NDRG1"
"HSA-MIR-182-5P","PDK4"
"HSA-MIR-182-5P","PLD1"
"HSA-MIR-182-5P","CHEK2"
"HSA-MIR-183-5P","NFIL3"
"HSA-MIR-185-5P","MCM10"
"HSA-MIR-185-5P","EPAS1"
"HSA-MIR-185-5P","HMGA1"
"HSA-MIR-185-5P","TRIM29"
"HSA-MIR-186-5P","PTTG1"
"HSA-MIR-186-5P","TWIST1"
"HSA-MIR-187-3P","CRMP1"
"HSA-MIR-18A-5P","BCL2L10"
"HSA-MIR-190A-5P","KCNQ5"
"HSA-MIR-192-5P","SMARCB1"
"HSA-MIR-192-5P","MCM10"
"HSA-MIR-192-5P","HOXA10"
"HSA-MIR-193A-5P","IGF2BP1"
"HSA-MIR-193B-3P","YWHAZ"
"HSA-MIR-193B-3P","RAD51"
"HSA-MIR-195-5P","KDR"
"HSA-MIR-195-5P","HMGA1"
"HSA-MIR-195-5P","CDC25A"
"HSA-MIR-196A-5P","HOXC8"
"HSA-MIR-196A-5P","CDKN1A"
"HSA-MIR-196A-5P","HMGA1"
"HSA-MIR-196A-5P","HOXA10"
"HSA-MIR-196A-5P","HOXB7"
"HSA-MIR-196A-5P","HOXA7"
"HSA-MIR-196A-5P","MAMDC2"
"HSA-MIR-196A-5P","KRT5"
"HSA-MIR-196B-5P","HOXC8"
"HSA-MIR-196B-5P","IGF2BP1"
"HSA-MIR-196B-5P","HOXB7"
"HSA-MIR-199A-3P","KDR"
"HSA-MIR-199A-5P","DDR1"
"HSA-MIR-199A-5P","RND1"
"HSA-MIR-199A-5P","TMEM54"
"HSA-MIR-199A-5P","UNG"
"HSA-MIR-199A-5P","FZD6"
"HSA-MIR-199B-5P","DDR1"
"HSA-MIR-19A-3P","NR4A2"
"HSA-MIR-19A-3P","SOCS3"
"HSA-MIR-19B-1-5P","KDR"
"HSA-MIR-200A-3P","KEAP1"
"HSA-MIR-200A-5P","SOX17"
"HSA-MIR-200B-3P","KDR"
"HSA-MIR-200C-3P","KDR"
"HSA-MIR-200C-3P","HNF1B"
"HSA-MIR-200C-3P","LEPR"
"HSA-MIR-203A-3P","SOCS3"
"HSA-MIR-203A-5P","CDKN1A"
"HSA-MIR-204-5P","IGFBP2"
"HSA-MIR-204-5P","HOXA10"
"HSA-MIR-206","TKT"
"HSA-MIR-206","CCL2"
"HSA-MIR-206","NR4A2"
"HSA-MIR-206","TWIST1"
"HSA-MIR-206","SOX9"
"HSA-MIR-208A-3P","CDKN1A"
"HSA-MIR-208B-3P","CDKN1A"
"HSA-MIR-20A-3P","NR4A3"
"HSA-MIR-20A-3P","SMO"
"HSA-MIR-20A-5P","EGLN3"
"HSA-MIR-20A-5P","EPAS1"
"HSA-MIR-20A-5P","UBE2C"
"HSA-MIR-20A-5P","CDKN1A"
"HSA-MIR-20B-5P","CDKN1A"
"HSA-MIR-20B-5P","FZD6"
"HSA-MIR-21-3P","HPGD"
"HSA-MIR-21-5P","HPGD"
"HSA-MIR-21-5P","MTAP"
"HSA-MIR-21-5P","MSH6"
"HSA-MIR-21-5P","CDC25A"
"HSA-MIR-21-5P","SOX2"
"HSA-MIR-21-5P","SERPINB5"
"HSA-MIR-21-5P","FZD6"
"HSA-MIR-210-3P","PLK1"
"HSA-MIR-210-3P","KCMF1"
"HSA-MIR-210-3P","TWIST1"
"HSA-MIR-210-3P","HOXA1"
"HSA-MIR-211-5P","CDH5"
"HSA-MIR-212-3P","CCNB1"
"HSA-MIR-214-3P","TWIST1"
"HSA-MIR-214-3P","ASF1B"
"HSA-MIR-217","NR4A2"
"HSA-MIR-218-5P","SMO"
"HSA-MIR-22-3P","SLC2A1"
"HSA-MIR-22-3P","CDKN1A"
"HSA-MIR-22-3P","BMP7"
"HSA-MIR-22-3P","PLK1"
"HSA-MIR-22-5P","YWHAZ"
"HSA-MIR-221-3P","PAK1"
"HSA-MIR-221-3P","SOCS3"
"HSA-MIR-221-3P","RAD51"
"HSA-MIR-223-3P","POLR3G"
"HSA-MIR-223-3P","ARTN"
"HSA-MIR-223-3P","ECT2"
"HSA-MIR-223-3P","CXCL2"
"HSA-MIR-224-5P","KLK10"
"HSA-MIR-23A-3P","HNF1B"
"HSA-MIR-24-3P","FGF11"
"HSA-MIR-24-3P","CDK1"
"HSA-MIR-24-3P","SLC6A4"
"HSA-MIR-24-3P","FEN1"
"HSA-MIR-24-3P","CDKN2A"
"HSA-MIR-26A-1-3P","CDC25A"
"HSA-MIR-26A-5P","CDC6"
"HSA-MIR-26A-5P","HMGA1"
"HSA-MIR-27A-3P","YWHAZ"
"HSA-MIR-27A-3P","SLC7A11"
"HSA-MIR-27A-3P","HOXA10"
"HSA-MIR-27A-3P","SLC6A8"
"HSA-MIR-27B-3P","NR5A2"
"HSA-MIR-27B-3P","CDH5"
"HSA-MIR-28-5P","CDKN1A"
"HSA-MIR-296-3P","CX3CR1"
"HSA-MIR-296-5P","KDR"
"HSA-MIR-296-5P","HMGA1"
"HSA-MIR-296-5P","PLK1"
"HSA-MIR-298","CDKN1A"
"HSA-MIR-299-5P","CDKN1A"
"HSA-MIR-29A-3P","TET3"
"HSA-MIR-29A-3P","KEAP1"
"HSA-MIR-29A-3P","COL10A1"
"HSA-MIR-29A-3P","CD93"
"HSA-MIR-29B-1-5P","JUND"
"HSA-MIR-29B-3P","COL10A1"
"HSA-MIR-29C-3P","COL10A1"
"HSA-MIR-29C-3P","GAPDH"
"HSA-MIR-29C-3P","TFAP2C"
"HSA-MIR-29C-3P","COL7A1"
"HSA-MIR-300","TWIST1"
"HSA-MIR-302A-3P","CDKN1A"
"HSA-MIR-302A-3P","SDC1"
"HSA-MIR-302A-3P","CDK1"
"HSA-MIR-302D-3P","NR4A2"
"HSA-MIR-30A-5P","UBE3C"
"HSA-MIR-30A-5P","EYA2"
"HSA-MIR-30A-5P","FOXL2"
"HSA-MIR-30A-5P","FOXD1"
"HSA-MIR-30A-5P","RAB38"
"HSA-MIR-30B-5P","EIF5A2"
"HSA-MIR-30B-5P","HOXA1"
"HSA-MIR-30C-5P","PAK1"
"HSA-MIR-30C-5P","SOCS3"
"HSA-MIR-30E-5P","MYBL2"
"HSA-MIR-31-5P","HOXC13"
"HSA-MIR-31-5P","CDK1"
"HSA-MIR-31-5P","PRKCE"
"HSA-MIR-31-5P","SPRY4"
"HSA-MIR-32-5P","TWIST1"
"HSA-MIR-320A","YWHAZ"
"HSA-MIR-320A","AQP1"
"HSA-MIR-320A","NPR1"
"HSA-MIR-320A","HOXA10"
"HSA-MIR-324-5P","SMO"
"HSA-MIR-326","SMO"
"HSA-MIR-330-3P","CCBE1"
"HSA-MIR-330-3P","MSI1"
"HSA-MIR-335-5P","TRIM29"
"HSA-MIR-335-5P","SIAH2"
"HSA-MIR-335-5P","SOX17"
"HSA-MIR-337-5P","HOXB7"
"HSA-MIR-338-3P","SMO"
"HSA-MIR-33A-5P","TWIST1"
"HSA-MIR-33B-3P","TWIST1"
"HSA-MIR-33B-5P","TWIST1"
"HSA-MIR-340-5P","SOX2"
"HSA-MIR-342-3P","BMP7"
"HSA-MIR-345-5P","CDKN1A"
"HSA-MIR-34A-5P","MAGEA2"
"HSA-MIR-34A-5P","BMP7"
"HSA-MIR-34A-5P","KLB"
"HSA-MIR-34A-5P","ATG4D"
"HSA-MIR-34A-5P","NR4A2"
"HSA-MIR-34A-5P","IGF2BP3"
"HSA-MIR-34A-5P","CDC25A"
"HSA-MIR-34A-5P","SOX2"
"HSA-MIR-34A-5P","HDAC1"
"HSA-MIR-34A-5P","MAGEA6"
"HSA-MIR-34A-5P","RCAN1"
"HSA-MIR-34A-5P","RAD51"
"HSA-MIR-34A-5P","CDKN2A"
"HSA-MIR-34A-5P","MAGEA3"
"HSA-MIR-34B-3P","PAK1"
"HSA-MIR-34B-3P","SOX2"
"HSA-MIR-34C-5P","SOX2"
"HSA-MIR-34C-5P","UNG"
"HSA-MIR-361-5P","TWIST1"
"HSA-MIR-363-3P","CDKN1A"
"HSA-MIR-365A-3P","CDC25A"
"HSA-MIR-3686","PLK1"
"HSA-MIR-371A-5P","SOX2"
"HSA-MIR-372-3P","CDKN1A"
"HSA-MIR-372-3P","NR4A2"
"HSA-MIR-375","YWHAZ"
"HSA-MIR-376C-3P","NR5A2"
"HSA-MIR-377-3P","PAK1"
"HSA-MIR-381-3P","TWIST1"
"HSA-MIR-410-3P","CCNB1"
"HSA-MIR-411-5P","SPRY4"
"HSA-MIR-422A","FOXE1"
"HSA-MIR-423-3P","CDKN1A"
"HSA-MIR-424-5P","ANLN"
"HSA-MIR-424-5P","KIF23"
"HSA-MIR-424-5P","CDC25A"
"HSA-MIR-429","SOX2"
"HSA-MIR-4295","CDKN1A"
"HSA-MIR-433-5P","GCLM"
"HSA-MIR-433-5P","GCLC"
"HSA-MIR-449A","CDC25A"
"HSA-MIR-449A","HDAC1"
"HSA-MIR-449B-5P","CDC25A"
"HSA-MIR-449B-5P","HDAC1"
"HSA-MIR-450B-5P","SOX2"
"HSA-MIR-485-5P","APOA5"
"HSA-MIR-488-3P","SLC39A8"
"HSA-MIR-491-3P","IGFBP2"
"HSA-MIR-491-5P","IGF2BP1"
"HSA-MIR-494-3P","SDC1"
"HSA-MIR-494-3P","HOXA10"
"HSA-MIR-495-3P","CCL2"
"HSA-MIR-495-3P","SOX9"
"HSA-MIR-497-5P","TWIST1"
"HSA-MIR-497-5P","CDC25A"
"HSA-MIR-503-5P","ANLN"
"HSA-MIR-503-5P","CDKN1A"
"HSA-MIR-503-5P","CDC25A"
"HSA-MIR-509-3-5P","PLK1"
"HSA-MIR-512-5P","CDKN1A"
"HSA-MIR-515-3P","CDKN1A"
"HSA-MIR-518A-5P","CCL2"
"HSA-MIR-519A-3P","CDKN1A"
"HSA-MIR-519B-3P","CDKN1A"
"HSA-MIR-519C-3P","CDKN1A"
"HSA-MIR-519D-3P","CDKN1A"
"HSA-MIR-519E-3P","CDKN1A"
"HSA-MIR-520A-3P","CDKN1A"
"HSA-MIR-520B","CDKN1A"
"HSA-MIR-520G-3P","DAPK2"
"HSA-MIR-520H","DAPK2"
"HSA-MIR-520H","CDKN1A"
"HSA-MIR-520H","HDAC1"
"HSA-MIR-520H","SMAD6"
"HSA-MIR-522-3P","PTGR1"
"HSA-MIR-522-3P","SOX2"
"HSA-MIR-524-5P","SOX9"
"HSA-MIR-532-5P","CXCL2"
"HSA-MIR-539-5P","SPAG5"
"HSA-MIR-539-5P","TWIST1"
"HSA-MIR-542-3P","BMP7"
"HSA-MIR-543","TWIST1"
"HSA-MIR-544A","HOXA10"
"HSA-MIR-548B-3P","CCNB1"
"HSA-MIR-548C-3P","TWIST1"
"HSA-MIR-572","CDKN1A"
"HSA-MIR-580-3P","TWIST1"
"HSA-MIR-592","SOX9"
"HSA-MIR-593-5P","PLK1"
"HSA-MIR-625-5P","IGF2BP1"
"HSA-MIR-625-5P","HMGA1"
"HSA-MIR-625-5P","SOX2"
"HSA-MIR-631","UBE2C"
