"Cluster","Gene"
"HSA-MIR-19A-3P","MYCN"
"HSA-MIR-19A-3P","CCND1"
"HSA-MIR-19B-1-5P","CCND1"
"HSA-MIR-19B-3P","MYCN"
"HSA-MIR-200A-3P","HOXB5"
"HSA-MIR-200A-3P","DLX5"
"HSA-MIR-200A-3P","PTPRD"
"HSA-MIR-200B-3P","HOXB5"
"HSA-MIR-200B-3P","FLT1"
"HSA-MIR-200B-3P","BCL2"
"HSA-MIR-200B-3P","PTPRD"
"HSA-MIR-200C-3P","HOXB5"
"HSA-MIR-200C-3P","FLT1"
"HSA-MIR-200C-3P","BCL2"
"HSA-MIR-200C-3P","PTPRD"
"HSA-MIR-200C-3P","EFNA1"
"HSA-MIR-202-3P","MYCN"
"HSA-MIR-203A-3P","DLX5"
"HSA-MIR-203A-3P","EYA4"
"HSA-MIR-204-3P","RGS5"
"HSA-MIR-204-5P","BCL2"
"HSA-MIR-204-5P","EFNB2"
"HSA-MIR-204-5P","BDNF"
"HSA-MIR-204-5P","FOXC1"
"HSA-MIR-204-5P","TRPM3"
"HSA-MIR-204-5P","SOST"
"HSA-MIR-205-5P","BCL2"
"HSA-MIR-205-5P","ESRRG"
"HSA-MIR-206","SFRP1"
"HSA-MIR-206","CCND1"
"HSA-MIR-20A-5P","EGLN3"
"HSA-MIR-20A-5P","RGS5"
"HSA-MIR-20A-5P","BCL2"
"HSA-MIR-20A-5P","RUNX3"
"HSA-MIR-20A-5P","CCND1"
"HSA-MIR-20A-5P","PTPRO"
"HSA-MIR-20B-5P","EFNB2"
"HSA-MIR-21-5P","TCF21"
"HSA-MIR-21-5P","BTG2"
"HSA-MIR-21-5P","TGFBR3"
"HSA-MIR-21-5P","BCL2"
"HSA-MIR-21-5P","PPARA"
"HSA-MIR-210-3P","BNIP3"
"HSA-MIR-210-3P","IGFBP3"
"HSA-MIR-210-3P","BDNF"
"HSA-MIR-211-3P","RGS5"
"HSA-MIR-211-5P","BCL2"
"HSA-MIR-211-5P","CCND1"
"HSA-MIR-212-3P","RBP2"
"HSA-MIR-214-3P","LZTS1"
"HSA-MIR-215-5P","PTPRT"
"HSA-MIR-215-5P","WNK1"
"HSA-MIR-216A-5P","HNF4A"
"HSA-MIR-217","DACH1"
"HSA-MIR-217","GPC5"
"HSA-MIR-218-5P","EFNA1"
"HSA-MIR-218-5P","SOST"
"HSA-MIR-219A-5P","GPC3"
"HSA-MIR-22-3P","BMP6"
"HSA-MIR-22-3P","ACLY"
"HSA-MIR-22-3P","BMP7"
"HSA-MIR-22-3P","BDNF"
"HSA-MIR-22-3P","PPARA"
"HSA-MIR-221-3P","HOXB5"
"HSA-MIR-221-3P","BNIP3"
"HSA-MIR-223-3P","SCARB1"
"HSA-MIR-223-5P","EGF"
"HSA-MIR-224-5P","MTOR"
"HSA-MIR-224-5P","BCL2"
"HSA-MIR-224-5P","DIO1"
"HSA-MIR-224-5P","EYA4"
"HSA-MIR-23A-3P","G6PC"
"HSA-MIR-23A-3P","RGS5"
"HSA-MIR-23B-3P","RGS5"
"HSA-MIR-23B-3P","PLAU"
"HSA-MIR-24-1-5P","WNK1"
"HSA-MIR-24-1-5P","HNF4A"
"HSA-MIR-24-2-5P","BCL2"
"HSA-MIR-24-3P","GATA3"
"HSA-MIR-24-3P","CCND1"
"HSA-MIR-24-3P","MXI1"
"HSA-MIR-24-3P","HNF4A"
"HSA-MIR-26A-1-3P","BCL2"
"HSA-MIR-26A-1-3P","PCK1"
"HSA-MIR-26A-5P","ST8SIA4"
"HSA-MIR-26B-5P","ST8SIA4"
"HSA-MIR-27A-3P","SFRP1"
"HSA-MIR-27A-3P","BTG2"
"HSA-MIR-27A-3P","GATA3"
"HSA-MIR-27A-3P","WNK1"
"HSA-MIR-27A-3P","CCND1"
"HSA-MIR-27A-3P","SLC6A8"
"HSA-MIR-27A-5P","SFRP1"
"HSA-MIR-27A-5P","MXI1"
"HSA-MIR-27A-5P","PPARA"
"HSA-MIR-27B-3P","CX3CL1"
"HSA-MIR-27B-3P","CRISP2"
"HSA-MIR-27B-3P","PLK2"
"HSA-MIR-27B-3P","EYA4"
"HSA-MIR-27B-3P","FOXJ3"
"HSA-MIR-2861","CCND1"
"HSA-MIR-296-5P","WNK4"
"HSA-MIR-297","GPC5"
"HSA-MIR-29A-3P","MYCN"
"HSA-MIR-29A-3P","BCL2"
"HSA-MIR-29A-3P","CCND1"
"HSA-MIR-29A-3P","SLC22A7"
"HSA-MIR-29B-3P","ANGPTL4"
"HSA-MIR-29B-3P","MYCN"
"HSA-MIR-29B-3P","BCL2"
"HSA-MIR-29B-3P","GATA3"
"HSA-MIR-29C-3P","MYCN"
"HSA-MIR-29C-3P","BCL2"
"HSA-MIR-29C-3P","TFAP2C"
"HSA-MIR-301A-3P","CDC14A"
"HSA-MIR-301A-3P","RUNX3"
"HSA-MIR-302A-3P","CCND1"
"HSA-MIR-302C-3P","CCND1"
"HSA-MIR-30A-5P","BDNF"
"HSA-MIR-30B-5P","BCL2"
"HSA-MIR-31-5P","CASR"
"HSA-MIR-3188","MTOR"
"HSA-MIR-32-5P","BTG2"
"HSA-MIR-320A","ESRRG"
"HSA-MIR-320A","TRPC5"
"HSA-MIR-320B","DLX5"
"HSA-MIR-324-3P","WNT9B"
"HSA-MIR-326","FGF1"
"HSA-MIR-328-3P","SFRP1"
"HSA-MIR-328-3P","PLCE1"
"HSA-MIR-335-5P","FMN2"
"HSA-MIR-338-3P","CCND1"
"HSA-MIR-33A-5P","PPARA"
"HSA-MIR-33B-5P","G6PC"
"HSA-MIR-33B-5P","BCL2"
"HSA-MIR-33B-5P","PCK1"
"HSA-MIR-340-5P","CCND1"
"HSA-MIR-342-3P","BMP7"
