"miRNA","Targets"
"hsa-miR-96-5p","FRMD6"
"hsa-miR-141-3p","PPP1R12A,FRMD6"
"hsa-miR-148a-3p","NPR2,KCNQ5,ANGPT1,SGCB,C7orf58,FGF2,HOXD13,PPP1R12A,RIMS3,MPP2,FRMD6,SLC8A1"
"hsa-miR-375","ANO6,TMLHE,SLCO3A1,ANGPT1,ZNF154,PLEKHA2,DUSP19,TCF7L1,FRMD6,ARHGAP20,MTMR8"
"hsa-miR-143-3p","EPHA10,KLHL17"
"hsa-miR-141-5p","DPYSL3,RBPMS,GRK5,CDC42EP3,LMOD1,ANGPT1,DZIP1,FLNA,ADCY5,KCNJ8,JAZF1,CNRIP1,FERMT2,HEPH,SGCB,FGF2,GCOM1,HOXD13,RASL12,BHMT2,EHD2,KIAA1614,PPP1R12A,RIMS3,MRVI1,KANK2,MPP2,TLN1,TMEM200B,FRMD6,SLC8A1,LOC399959,PHF19"
"hsa-miR-200c-3p","TMLHE,IL33,ANGPT1,DZIP1,PLEKHA2,DUSP19,KCNJ8,JAZF1,UBXN10,IRAK3,SGCB,TCF7L1,FGF2,HOXD13,TMEM35,PPP1R12A,MRVI1,MPP2,MAMLD1,FRMD6,SLC8A1,SDPR,ARHGAP20,MTMR8"
