"miRNA","gene","corr"
"hsa-miR-100-5p","Empty 0",
"hsa-miR-708-5p","Empty 0",
"hsa-miR-501-3p","Empty 0",
"hsa-miR-200a-3p","Empty 0",
"hsa-miR-27b-5p","Empty 0",
"hsa-miR-450b-5p","Empty 0",
"hsa-miR-1180","Empty 0",
"hsa-miR-26b-3p","Empty 0",
"hsa-miR-21-5p","CSGALNACT1",-0.6152560312706947
"hsa-miR-21-5p","GHR",-0.6040723150072211
"hsa-miR-21-5p","SOX10",-0.6118632902747502
"hsa-miR-21-5p","DLG2",-0.6494795470138368
"hsa-miR-21-5p","C1QTNF7",-0.6008633777145899
"hsa-miR-21-5p","TGFBR3",-0.6580904104051445
"hsa-miR-21-5p","SEMA3E",-0.6136577101783146
"hsa-miR-21-5p","C4orf12",-0.6104820665526358
"hsa-miR-21-5p","LRRTM1",-0.6265716137625188
"hsa-miR-21-5p","JMY",-0.6165442739319463
"hsa-miR-21-5p","MAGI2",-0.6018285323436674
"hsa-miR-21-5p","SMAD9",-0.6176099497373622
"hsa-miR-21-5p","PLP1",-0.6057469330372403
"hsa-miR-21-5p","TENC1",-0.6005281698334081
"hsa-miR-21-5p","RAI2",-0.6218356304172302
"hsa-miR-21-5p","NAP1L5",-0.6099070435085474
"hsa-miR-21-5p","NRXN1",-0.6020217293386082
"hsa-miR-21-5p","CEP68",-0.612453444100125
"hsa-miR-21-5p","HERC1",-0.6286090374536789
"hsa-miR-21-5p","NEK1",-0.6355482712094142
"hsa-miR-21-5p","MYST4",-0.6011296093572083
"hsa-miR-21-5p","ZBTB4",-0.6129005069563556
"hsa-miR-21-5p","PRIMA1",-0.6154585492779128
"hsa-miR-27a-5p","Empty 0",
"hsa-miR-151a-3p","FAM124A",-0.6159839456857179
"hsa-miR-7-1-3p","Empty 0",
"hsa-miR-17-5p","Empty 0",
"hsa-miR-3065-3p","Empty 0",
"hsa-miR-224-5p","Empty 0",
"hsa-miR-200a-5p","Empty 0",
"hsa-miR-145-5p","Empty 0",
"hsa-miR-10a-5p","Empty 0",
"hsa-miR-194-5p","Empty 0",
"hsa-miR-125b-5p","Empty 0",
"hsa-miR-24-2-5p","Empty 0",
"hsa-miR-324-5p","Empty 0",
"hsa-miR-362-5p","Empty 0",
"hsa-miR-93-5p","Empty 0",
"hsa-miR-185-5p","Empty 0",
"hsa-miR-92a-3p","Empty 0",
"hsa-miR-193b-3p","Empty 0",
"hsa-let-7b-3p","Empty 0",
"hsa-miR-584-5p","Empty 0",
"hsa-miR-141-5p","Empty 0",
"hsa-miR-24-3p","Empty 0",
"hsa-miR-197-3p","Empty 0",
"hsa-miR-148b-3p","Empty 0",
"hsa-miR-149-5p","Empty 0",
"hsa-miR-1301","Empty 0",
"hsa-miR-195-5p","Empty 0",
"hsa-miR-30d-5p","Empty 0",
"hsa-miR-1307-3p","Empty 0",
"hsa-miR-29c-5p","Empty 0",
"hsa-miR-136-5p","Empty 0",
"hsa-miR-15a-5p","Empty 0",
"hsa-miR-103a-3p","CCDC110",-0.6038442669101745
"hsa-miR-874","Empty 0",
"hsa-let-7e-5p","Empty 0",
"hsa-miR-30a-5p","Empty 0",
"hsa-miR-708-3p","Empty 0",
"hsa-miR-582-5p","Empty 0",
"hsa-miR-330-3p","Empty 0",
"hsa-miR-532-3p","Empty 0",
"hsa-miR-181c-5p","Empty 0",
"hsa-miR-20b-5p","Empty 0",
"hsa-miR-32-5p","AHNAK",-0.6001201588281958
"hsa-miR-32-5p","SOX10",-0.6268463587252909
"hsa-miR-32-5p","SPON1",-0.6146296007486413
"hsa-miR-32-5p","EVC",-0.6328013308568355
"hsa-miR-32-5p","TACC2",-0.6069229176523444
"hsa-miR-32-5p","CALCOCO1",-0.6205168008331273
"hsa-miR-32-5p","PPP2R5A",-0.6082376048789839
"hsa-miR-32-5p","C10orf72",-0.6075453546934956
"hsa-miR-32-5p","RNASE4",-0.667551134430935
"hsa-miR-32-5p","GSTM5",-0.6124780349680761
"hsa-miR-32-5p","ADAM33",-0.6133651887879022
"hsa-miR-32-5p","RAI2",-0.6277295365967197
"hsa-miR-32-5p","DTWD1",-0.6392929687167784
