"miRNA","Targets"
"hsa-miR-145-3p","CDC45,ESCO2,AURKA,BIRC5,KIF15,SPC25,KIF23,TOP2A,KNTC1,SKA3,BUB1B,CDC6,NUF2,MSH6,CCNB2,SPAG5,KIAA1524,STIL,KIF4A,CENPF,EPR1,RACGAP1,CCNB1,C16orf59,BRIP1,HELLS,CENPO,FANCI,EXO1,ASPM,DNA2,UBE2T,CHEK1,CDT1,BUB1,SKA1,PLK4,CKS1B,CENPA,C1orf112,UNG,POLQ,NCAPH,XRCC2,KIF11,ATAD5,C12orf48"
"hsa-miR-210","ARHGAP18,RASGRP4,DPEP2"
"hsa-miR-30c-2-3p","CDC45,AURKA,MEN1,ZMYND19,PKMYT1,CRKL,YWHAZ,BIRC5,SSRP1,ESPL1,RFC4,DKC1,KIF15,SPC25,CEP55,AK3L1,HPRT1,MCM8,KIF23,TOP2A,MCM4,CDCA8,SLC2A1,KNTC1,FOXM1,ARHGAP11B,SKA3,WDHD1,GAN,FAM83H,CDCA2,SHMT2,BUB1B,FLAD1,B3GALNT2,FAM136A,SPTBN2,CDC6,ORC1L,MSL3L2,IMMT,GGCT,NUF2,CHAF1A,GOT2,SET,CCNB2,SPAG5,KIAA1524,STIL,PLK1,ERCC6L,KIF4A,CENPF,RAD54L,EPR1,NUDT1,RACGAP1,C21orf45,HEATR2,NFKBIL2,DNAJC9,CCNF,CCT7,KIF2C,CCNB1,NCAPD2,C16orf59,MRM1,E2F8,DEPDC1,ORC6L,KIF20A,TROAP,TTLL12,CSE1L,BRIP1,HELLS,GTSE1,CENPO,FANCI,SLC25A10,EXO1,DLGAP5,ZWILCH,NEK2,CHTF18,AURKB,ASPM,UBE2T,RCC1,KIF14,CHEK1,CDT1,BUB1,ECT2,COQ3,SKA1,PLK4,CKS1B,RNF187,PYCR1,C6orf167,CENPA,C1orf112,RFC5,C17orf53,RAD51,TIMELESS,C14orf33,UNG,NCAPG2,POLQ,MKI67,NCAPH,XRCC2,KIF11,CENPE,ATAD5,PRC1,ARHGAP11A,C12orf48,HJURP"
"hsa-miR-338-3p","CDC6"
"hsa-miR-195-3p","BIRC5,KIF15,KIF23,NUF2,CCNB2,KIAA1524,STIL,KIF4A,EPR1,RACGAP1,CCNB1,ORC6L,GTSE1,CENPO,UBE2T,BUB1,SKA1,CENPA,POLQ,HJURP"
"hsa-miR-100-5p","CDC45,ESCO2,C15orf42,AURKA,UMPS,ZMYND19,PKMYT1,MTMR1,BIRC5,ESPL1,RFC4,DKC1,KIF15,SPC25,CEP55,HPRT1,WDR72,KIF23,RAD51AP1,TOP2A,MCM4,CDCA8,KNTC1,FOXM1,ARHGAP11B,SKA3,WDHD1,CDCA2,BUB1B,RTKN,FLAD1,B3GALNT2,FAM136A,CDC6,ORC1L,MSL3L2,GGCT,OPA1,NUF2,E2F2,MSH6,CHAF1A,SET,CCNB2,SPAG5,SENP5,KIAA1524,STIL,PLK1,ERCC6L,KIF4A,CENPF,RAD54L,EPR1,NUDT1,RACGAP1,DNAJC9,PERP,CCT7,CCNB1,NCAPD2,C16orf59,ORC6L,SPAST,WASF1,KIF20A,TROAP,TPI1P2,TTLL12,CSE1L,BRIP1,HELLS,GTSE1,WDR53,SERPINB5,CENPO,FANCI,SLC25A10,EXO1,DLGAP5,CDH24,ZWILCH,NEK2,CHTF18,AURKB,SMC6,ASPM,UBE2T,KIF14,RCCD1,CHEK1,SMO,CDT1,BUB1,ECT2,COQ3,SKA1,PLK4,CKS1B,ASF1B,RNF187,C6orf167,CENPA,C1orf112,RFC5,TMEM194A,C17orf53,RAD51,TIMELESS,BLM,C9orf140,FBXO45,UNG,NUP205,NCAPG2,POLQ,MKI67,SLC6A8,NCAPH,PSAT1,XRCC2,KIF11,CENPE,ATAD5,PRC1,ARHGAP11A,C12orf48,HJURP,SUV39H2"
"hsa-miR-126-5p","CDC45,C15orf42,AURKA,PKMYT1,BIRC5,SSRP1,ESPL1,DKC1,KIF15,CEP55,AK3L1,KIF23,TOP2A,MCM4,CDCA8,FOXM1,ARHGAP11B,SKA3,WDHD1,FAM83H,CDCA2,SHMT2,BUB1B,FLAD1,B3GALNT2,SPTBN2,CDC6,ORC1L,GGCT,RARG,CHAF1A,GOT2,CCNB2,SPAG5,KIAA1524,STIL,PLK1,ERCC6L,KIF4A,CENPF,EPR1,RACGAP1,C21orf45,NFKBIL2,DNAJC9,CCNF,CCT7,CCNB1,NCAPD2,C16orf59,DEPDC1,ORC6L,KIF20A,TROAP,CSE1L,BRIP1,HELLS,GTSE1,CENPO,FANCI,SLC25A10,EXO1,DLGAP5,CDH24,ZWILCH,NEK2,ASPM,UBE2T,RCC1,TMEM132A,KIF14,CHEK1,CDT1,BUB1,SKA1,PLK4,CKS1B,RNF187,PYCR1,C6orf167,CENPA,C1orf112,RFC5,C17orf53,RAD51,TIMELESS,C14orf33,UNG,NCAPG2,POLQ,MKI67,NCAPH,XRCC2,KIF11,CENPE,PRC1,ARHGAP11A,C12orf48"
"hsa-miR-21-5p","NOSTRIN,CLEC3B,GKN2,ABCA8,JAM2,KHDRBS2,PTPRB,TSPAN12,GGTLC1,C10orf67,CLIC5,GPM6A,ARHGAP6,WWC2,EPAS1,FOLR1,AGER,ANXA3,SUSD2,CCDC85A,PLLP,LMO7,CA4,ACVRL1,SEMA3G,CYP4B1,SH2D3C,FXYD1,ACTN2,KANK3,PRKCE,EDNRB,RAB11FIP1,SFTA1P,RNASE4,AGTR1,CNTN6,GPD1L,CLDN18,RS1,FHL1,FAM189A2,FMO2,ADRB2,EMCN,TEK,FAM105A,EMP2,EPB41L5,RXRG,LIMCH1,CD302,SDPR,RAMP2,NMUR1,TMEM125"
"hsa-miR-195-5p","CDC45,ESCO2,AURKA,PKMYT1,BIRC5,ESPL1,DKC1,KIF15,SPC25,CEP55,MCM8,KIF23,TOP2A,MCM4,CDCA8,KNTC1,FOXM1,ARHGAP11B,SKA3,WDHD1,GAN,FAM83H,CDCA7,CDCA2,BUB1B,FLAD1,FAM136A,SPTBN2,CDC6,ORC1L,MSL3L2,NUF2,CDC25C,SET,CCNB2,SPAG5,KIAA1524,STIL,PLK1,ERCC6L,KIF4A,CENPF,RAD54L,EPR1,RACGAP1,C21orf45,NFKBIL2,CCT7,CCNB1,NCAPD2,C16orf59,E2F8,DEPDC1,ORC6L,KIF20A,TROAP,CSE1L,BRIP1,HELLS,GTSE1,CENPO,FANCI,SLC25A10,EXO1,DLGAP5,CDH24,ZWILCH,NEK2,CHTF18,AURKB,ASPM,DNA2,UBE2T,KIF14,CHEK1,CDT1,BUB1,ECT2,SKA1,PLK4,CKS1B,RNF187,C6orf167,CENPA,C1orf112,RFC5,TMEM194A,C17orf53,RAD51,TIMELESS,UNG,NCAPG2,POLQ,MKI67,NCAPH,XRCC2,FAM72B,KIF11,CENPE,ATAD5,PRC1,ARHGAP11A,C12orf48,HJURP"
"hsa-miR-30d-5p","CDC45,GOT2,PLK1"
"hsa-miR-671-5p","ARHGAP18,ARHGAP6,RASGRP4,SH2D3C,DPEP2,ARRB1,KANK2,ARHGAP31"
"hsa-miR-30a-5p","CDC45,ESCO2,C15orf42,AURKA,MEN1,PKMYT1,YWHAZ,BIRC5,SSRP1,ESPL1,DKC1,KIF15,SPC25,CEP55,AK3L1,MCM8,KIF23,TOP2A,MCM4,CDCA8,KNTC1,FOXM1,ARHGAP11B,SKA3,CCT4,WDHD1,GAN,FAM83H,CDCA2,SHMT2,BUB1B,FLAD1,B3GALNT2,SPTBN2,CDC6,ORC1L,IMMT,GGCT,NUF2,MCM7,E2F2,CHAF1A,GOT2,CCNB2,E2F7,SPAG5,KIAA1524,STIL,PLK1,ERCC6L,KIF4A,CENPF,RAD54L,EPR1,NUDT1,RACGAP1,C21orf45,NFKBIL2,DNAJC9,CCNF,CCT7,KIF2C,CCNB1,NCAPD2,C16orf59,DEPDC1,ORC6L,KIF20A,TROAP,TPI1P2,TTLL12,CSE1L,BRIP1,HELLS,GTSE1,CENPO,MCM2,FANCI,SLC25A10,EXO1,DLGAP5,ZWILCH,NEK2,CHTF18,AURKB,ASPM,DNA2,UBE2T,RCC1,KIF14,CHEK1,CDT1,BUB1,ECT2,COQ3,SKA1,PLK4,CKS1B,RNF187,PYCR1,C6orf167,CENPA,C1orf112,RFC5,C17orf53,RAD51,TIMELESS,BLM,C14orf33,UNG,NCAPG2,POLQ,MKI67,NCAPH,XRCC2,KIF11,CENPE,ATAD5,PRC1,ARHGAP11A,C12orf48,HJURP"
