"Cluster","Gene"
"HSA-MIR-20A-5P","CCND2"
"HSA-MIR-20A-5P","TIMP2"
"HSA-MIR-20A-5P","BAMBI"
"HSA-MIR-20B-5P","BAMBI"
"HSA-MIR-21-5P","TCF21"
"HSA-MIR-21-5P","PLOD3"
"HSA-MIR-21-5P","TGFBR3"
"HSA-MIR-21-5P","GDF5"
"HSA-MIR-21-5P","TRAF7"
"HSA-MIR-210-3P","HOXA9"
"HSA-MIR-211-5P","IGFBP5"
"HSA-MIR-211-5P","SATB2"
"HSA-MIR-211-5P","CREB5"
"HSA-MIR-212-3P","ACHE"
"HSA-MIR-212-3P","RBP2"
"HSA-MIR-216B-5P","CSNK2A1"
"HSA-MIR-217","GPC5"
"HSA-MIR-218-2-3P","SLIT3"
"HSA-MIR-218-5P","PDGFRA"
"HSA-MIR-218-5P","SOST"
"HSA-MIR-219A-5P","GPC3"
"HSA-MIR-221-3P","ANXA1"
"HSA-MIR-221-3P","DVL2"
"HSA-MIR-221-3P","SELE"
"HSA-MIR-221-3P","CDKN1C"
"HSA-MIR-221-5P","CDKN1C"
"HSA-MIR-222-3P","SELE"
"HSA-MIR-222-3P","CDKN1C"
"HSA-MIR-222-5P","CDKN1C"
"HSA-MIR-223-5P","EGF"
"HSA-MIR-224-5P","DIO1"
"HSA-MIR-224-5P","AP2M1"
"HSA-MIR-224-5P","EYA4"
"HSA-MIR-23A-3P","G6PC"
"HSA-MIR-23B-3P","MET"
"HSA-MIR-25-3P","CDKN1C"
"HSA-MIR-26A-1-3P","PCK1"
"HSA-MIR-26A-5P","CCND2"
"HSA-MIR-26A-5P","PLAG1"
"HSA-MIR-27A-3P","SFRP1"
"HSA-MIR-27A-3P","GRB2"
"HSA-MIR-27A-3P","MET"
"HSA-MIR-27A-3P","PLAG1"
"HSA-MIR-27A-3P","SEMA6A"
"HSA-MIR-27A-5P","SFRP1"
"HSA-MIR-27A-5P","SNAP25"
"HSA-MIR-27B-3P","MET"
"HSA-MIR-27B-3P","HMGB3"
"HSA-MIR-27B-3P","SEMA6A"
"HSA-MIR-27B-3P","EYA4"
"HSA-MIR-296-5P","KDR"
"HSA-MIR-296-5P","WNK4"
"HSA-MIR-297","GPC5"
"HSA-MIR-29A-3P","LPL"
"HSA-MIR-29A-3P","CCND2"
"HSA-MIR-29B-3P","CCND2"
"HSA-MIR-29B-3P","PDGFRA"
"HSA-MIR-29B-3P","AQP4"
"HSA-MIR-29B-3P","NKIRAS2"
"HSA-MIR-29B-3P","MMP15"
"HSA-MIR-29C-3P","CCND2"
"HSA-MIR-29C-3P","CREB5"
"HSA-MIR-29C-3P","MMP15"
"HSA-MIR-300","ROS1"
"HSA-MIR-301A-3P","TIMP2"
"HSA-MIR-301A-3P","CDC14A"
"HSA-MIR-302B-3P","CCND2"
"HSA-MIR-302D-3P","CCND2"
"HSA-MIR-30A-5P","NEUROD1"
"HSA-MIR-30C-5P","MTTP"
"HSA-MIR-30C-5P","CCND2"
"HSA-MIR-30E-5P","MTTP"
"HSA-MIR-31-5P","MET"
"HSA-MIR-31-5P","SATB2"
"HSA-MIR-31-5P","TBXA2R"
"HSA-MIR-31-5P","SELE"
"HSA-MIR-31-5P","CASR"
"HSA-MIR-320A","AQP4"
"HSA-MIR-320A","TRPC5"
"HSA-MIR-324-3P","DVL2"
"HSA-MIR-324-3P","WNT9B"
"HSA-MIR-326","FGF1"
"HSA-MIR-328-3P","SFRP1"
"HSA-MIR-328-3P","KCNH2"
"HSA-MIR-328-3P","PLCE1"
"HSA-MIR-329-3P","GRB2"
"HSA-MIR-335-5P","POU5F1"
"HSA-MIR-335-5P","EPN2"
"HSA-MIR-335-5P","FMN2"
"HSA-MIR-335-5P","SIAH2"
"HSA-MIR-335-5P","SOX17"
"HSA-MIR-337-3P","CSNK2A1"
"HSA-MIR-338-3P","PREX2"
"HSA-MIR-33A-5P","ROS1"
"HSA-MIR-33A-5P","SATB2"
"HSA-MIR-33B-5P","G6PC"
"HSA-MIR-33B-5P","PCK1"
"HSA-MIR-340-5P","CCND2"
"HSA-MIR-340-5P","MET"
"HSA-MIR-34A-3P","MET"
"HSA-MIR-34A-5P","CACNB3"
"HSA-MIR-34A-5P","KCNH2"
"HSA-MIR-34A-5P","MET"
"HSA-MIR-34A-5P","GDF5"
"HSA-MIR-34A-5P","POU5F1"
"HSA-MIR-34A-5P","CDKN2C"
"HSA-MIR-34A-5P","PDGFRA"
"HSA-MIR-34A-5P","RBP2"
"HSA-MIR-34A-5P","GFRA3"
"HSA-MIR-34B-3P","MET"
"HSA-MIR-34B-5P","MET"
"HSA-MIR-34C-5P","MET"
"HSA-MIR-34C-5P","PDGFRA"
"HSA-MIR-34C-5P","NOTCH4"
"HSA-MIR-375","PLAG1"
"HSA-MIR-376C-3P","GRB2"
"HSA-MIR-378A-3P","GRB2"
"HSA-MIR-378A-3P","PGR"
"HSA-MIR-383-5P","DIO1"
"HSA-MIR-409-3P","MET"
"HSA-MIR-410-3P","MET"
"HSA-MIR-411-5P","GRB2"
"HSA-MIR-422A","CYP8B1"
"HSA-MIR-424-5P","TGFBR3"
"HSA-MIR-424-5P","PLAG1"
"HSA-MIR-424-5P","CDC14A"
"HSA-MIR-4271","APOC3"
"HSA-MIR-429","TIMP2"
"HSA-MIR-429","VAC14"
"HSA-MIR-432-5P","NES"
"HSA-MIR-433-3P","GRB2"
"HSA-MIR-433-3P","MET"
"HSA-MIR-449A","MET"
"HSA-MIR-449A","CREB5"
"HSA-MIR-449B-5P","MET"
"HSA-MIR-449C-5P","MET"
"HSA-MIR-466","PROX1"
"HSA-MIR-486-5P","OLFM4"
"HSA-MIR-488-3P","SLC39A8"
"HSA-MIR-489-3P","PROX1"
"HSA-MIR-490-3P","SMARCD1"
"HSA-MIR-491-3P","IGFBP2"
"HSA-MIR-494-3P","CNR1"
"HSA-MIR-502-5P","IFI27"
"HSA-MIR-503-5P","CDC14A"
"HSA-MIR-509-3-5P","PODXL"
"HSA-MIR-513B-5P","HMGB3"
"HSA-MIR-519C-3P","TIMP2"
"HSA-MIR-519D-3P","TIMP2"
"HSA-MIR-520C-3P","GPC3"
"HSA-MIR-562","MET"
"HSA-MIR-5787","ELF5"
"HSA-MIR-582-3P","SFRP1"
"HSA-MIR-590-5P","CREB5"
"HSA-MIR-599","SATB2"
"HSA-MIR-603","CCND2"
"HSA-MIR-616-3P","PON1"
"HSA-MIR-616-3P","TFPI2"
"HSA-MIR-630","CDC14A"
"HSA-MIR-641","SNAP25"
"HSA-MIR-647","ANK2"
"HSA-MIR-663A","PLOD3"
