"miRNA","Targets"
"hsa-miR-182-5p","CCDC158,TCF21,SPNS2,EFHB,TSG1,C10orf107,ATOH8,CHST9,CADM1,RSPH1,FGFR3,RGS9,MNS1,ASRGL1,PLCB1,SPEF1,AQP1,PKNOX2,REPS2,ELFN1,HUNK,WDR65,PROM1,DUSP9,RSPH4A,KLHL14,DNAJC22,DCDC1,CDO1,WNK4,SHMT1,MTMR11,CLDN10,SCNN1G,UGT3A1,C5orf38,IGFBP2,MAPK15,F11,MYOZ1,RAB7L1,ARHGEF33,AIF1L,HYDIN,CELSR2,SYTL4,C21orf62,LRRC48,C1orf77,C1orf106,PRUNE2,TEKT2,CD109,LRRC67,DNAH7,AACSL,CAPSL,WDR78,LOC339535,LOC723809,DTX4,LEPR,C2orf73,?(19),SOSTDC1,C2orf62,FMO2,IRX2,GABRA2,DOCK11,SLC44A4,FIGNL2,TMEM178,ID1,SAMD11,FOXC1,KBTBD11,EMCN,C10orf114,C1orf186,SALL2,C2orf77,NPY5R,SPATA4,FOXJ1,IRX5,LOC283314,PRKCQ,GPRIN2,SERP2,C10orf79,DACT2,NRGN"
"hsa-let-7c","ZDHHC23"
"hsa-miR-30e-5p","RSPH1,WDR65,MTMR11,LRRC48,FBLN5,PRUNE2,CD109,?(19),SLC44A4,CHRD,C1orf186,C2orf77,DCN,LUM"
"hsa-miR-505-5p","TMEM38A,FAM174A"
"hsa-miR-181a-5p","TBC1D14,TRIM50,WBSCR17,KLK3,LRFN5,RHCG"
"hsa-miR-130a-3p","FBN3,TBC1D14,CR1L,SYT17,TMEM38A,EVI5L,CKMT1B,SETMAR,DHCR7,FAM174A,ANKRD29,ZDHHC23,WBSCR17,KLK3,LIN7A,CLIP1,DSG2"
"hsa-miR-199a-5p","TBC1D14,SYT17,EVI5L,CKMT1B,FAM174A,ZDHHC23,WBSCR17,KLK3,CLIP1"
"hsa-miR-181c-3p","TBC1D14,SYT17,ANKRD29,WBSCR17"
"hsa-miR-542-5p","TBC1D14"
"hsa-miR-98-5p","SYT17,WBSCR17"
"hsa-miR-326","TBC1D14,SYT17,TMEM38A,EVI5L,ANKRD29,ZDHHC23,WBSCR17"
"hsa-miR-183-5p","RSPH1,MNS1,ASRGL1,SPEF1,AQP1,WDR65,CLDN10,IGFBP2,MYOZ1,ARHGEF33,SYTL4,LRRC48,DNAH7,WDR78,LOC723809,C2orf62,SAMD11,FOXC1,C10orf114,SALL2,C2orf77,GPRIN2,SERP2,C10orf79"
"hsa-miR-199a-3p","FBN3,NAP1L4,TBC1D14,CR1L,SYT17,TMEM38A,EVI5L,CKMT1B,SETMAR,DHCR7,FAM174A,ANKRD29,ZDHHC23,WBSCR17,KLK3,LIN7A,CLIP1,DSG2"
"hsa-miR-23b-3p","NUCB2,CR1L"
"hsa-miR-181d","CKMT1B,WBSCR17"
"hsa-miR-22-3p","UMOD,CYR61,MGC27382,JAM2,AQP2,GAL3ST3,SPNS2,FLJ32063,ROS1,TSG1,C10orf107,GSG1,PTGER1,ATOH8,AFAP1L2,CHST9,CADM1,GALNT6,RSPH1,FGFR3,MNS1,GPR83,LOC284578,ASRGL1,PLCB1,GPM6A,GADL1,SPEF1,AQP1,C6orf52,FOXQ1,PKNOX2,TAGLN3,THY1,LOC400927,CLDN19,LOC134466,SEC14L4,OLAH,ELFN1,HUNK,WDR65,GPIHBP1,TAL2,BAI3,PROM1,KCTD16,DUSP9,RSPH4A,SEMA4A,CNP,PHACTR1,IRX3,KLHL14,C9orf50,DCDC1,GP2,TSPAN8,WNK4,AVPR1B,ENKUR,CLDN10,DOC2B,SIM2,SCNN1G,UGT3A1,C5orf38,GUCA1C,HSPA2,IGFBP2,MAPK15,F11,SLC45A3,MYOZ1,ARHGEF33,AIF1L,CAPN6,HYDIN,GPR113,TLR5,CELSR2,SYTL4,C21orf62,LRRC48,FOXN1,C1orf77,FBLN5,LOC153328,C9orf43,IRX1,PRUNE2,SERPINA1,TEKT2,LRRC67,GPM6B,DNAH7,AACSL,TAS1R1,SUSD4,SOX30,CAPSL,WDR78,LOC339535,USP44,LOC723809,SLC44A5,LEPR,LEKR1,C2orf73,NTRK2,GDF3,?(19),SOSTDC1,PPP1R1A,C2orf62,UNCX,FMO2,IRX2,GABRA2,DOCK11,GPR12,C6orf146,FAM81B,SLC44A4,LMO1,FOXA3,FIGNL2,FER1L5,SLC12A1,TMEM178,ID1,SAMD11,RASAL1,FOXC1,KBTBD11,NPY1R,SLC38A5,MUC15,EDAR,CPE,RASL11B,NAALAD2,SLC9A3,CHRD,C1orf65,LGI2,C2orf65,SALL2,C2orf77,VWA3B,GABRB1,NPY5R,AMPH,SPATA4,PDILT,FOXJ1,DAB1,TCEAL7,IRX5,PRKCQ,GPRIN2,NAT2,SERP2,TACSTD2,NEK5,C10orf79,C16orf11,PRIMA1,IQCA1,NELL1,CNTN5,NCRNA00092,TET1,DACT2,WNT10A,NRGN"
"hsa-miR-185-3p","MYOZ1"
"hsa-miR-1180","FBN3,TBC1D14,SYT17,TMEM38A,CKMT1B,SETMAR,ASTN2,DHCR7,GPSM2,FAM174A,ANKRD29,ZDHHC23,WBSCR17,KLK3,LIN7A,DSG2"
"hsa-miR-30b-3p","RSPH1,WDR65,LRRC48,WDR78,C2orf77,SERP2"
"hsa-miR-26b-3p","FBN3,NAP1L4,TBC1D14,TRIM50,CR1L,SYT17,TMEM38A,EVI5L,CKMT1B,DHCR7,FAM174A,ANKRD29,ZDHHC23,WBSCR17,KLK3,LRFN5,CLIP1"
"hsa-miR-3065-3p","CLIP1"
"hsa-miR-10a-5p","IGFBP4,RGS9,EMID1,MTMR11,LOC283314"
"hsa-miR-29b-2-5p","TBC1D14,SYT17,TMEM38A,CKMT1B,SENP5,DHCR7,ANKRD29,ZDHHC23,WBSCR17,CLIP1"
"hsa-miR-24-2-5p","TBC1D14,CR1L,ZDHHC23,WBSCR17,CLIP1"
"hsa-miR-221-5p","UMOD,CYR61,CCDC158,AQP2,PITX2,IGFBP4,TCF21,SPNS2,FLJ32063,EFHB,RERGL,TSG1,C10orf107,PTGER1,ATOH8,AKR1C3,AFAP1L2,CHST9,CADM1,GALNT6,FGFR4,RSPH1,FGFR3,RGS9,MNS1,GPR83,TMEM26,FAM180A,LOC284578,ASRGL1,PLCB1,GPM6A,SPEF1,AQP1,ITGA8,C6orf52,PKNOX2,FAM183A,TAGLN3,THY1,SLC5A8,LOC400927,REPS2,CLDN19,SPNS3,LOC134466,SEC14L4,OLAH,ELFN1,HUNK,WDR65,TAL2,PROM1,KCTD16,DUSP9,RSPH4A,CNP,PHACTR1,IRX3,KLHL14,DNAJC22,PAPPA,C9orf50,DCDC1,GP2,CDO1,TSPAN8,WNK4,AVPR1B,ENKUR,SHMT1,CMAH,RALYL,MTMR11,CLDN10,GCM1,DOC2B,SIM2,SCNN1G,GLB1L,ENOX1,UGT3A1,C5orf38,SEMA3G,C6orf176,GUCA1C,HSPA2,IGFBP2,FBLN2,MAPK15,F11,SLC45A3,MYOZ1,A4GNT,RAB7L1,NLGN3,AADACL4,ARHGEF33,AIF1L,CAPN6,SSTR2,HYDIN,TLR5,CELSR2,SYTL4,C21orf62,LRRC48,MGAT3,C1orf77,C1orf106,FBLN5,LOC153328,C6orf122,IRX1,PRUNE2,NKD1,SERPINA1,TEKT2,CD109,MGAT4C,TRIL,BNIPL,LRRC67,GPM6B,DNAH7,AACSL,SUSD4,CAPSL,RGL1,WDR78,LOC339535,USP44,LOC723809,DTX4,LEPR,C16orf73,C2orf73,NTRK2,MSTN,?(19),SOSTDC1,PPP1R1A,BHMT2,C2orf62,PDZK1,ATP12A,FMO2,IRX2,GABRA2,DOCK11,C6orf146,FAM81B,SLC44A4,LMO1,FIGNL2,SLC12A1,TMEM178,ID1,SAMD11,RASAL1,FOXC1,TYRP1,KBTBD11,CDKN1C,NPY1R,SLC38A5,MUC15,EDAR,CPE,ALAD,MRGPRF,GABRB2,EMCN,RASL11B,CHRD,C10orf114,LGI2,EFCAB1,C1orf186,SALL2,C2orf77,GABRB1,CLDN16,AMBP,CHDH,NPY5R,B3GALT2,LOC441177,AMPH,TMEM176A,DCN,SPATA4,CFI,FOXJ1,DAB1,TCEAL7,IRX5,C6orf208,LOC283314,PRKCQ,GPRIN2,NAT2,SERP2,NEK5,C10orf79,C16orf11,C20orf118,IQCA1,NELL1,CNTN5,NCRNA00092,TET1,DACT2,NRGN"
"hsa-miR-185-5p","CLDN10,SERP2"
"hsa-miR-222-5p","UMOD,CYR61,CCDC158,MGC27382,AQP2,PITX2,IGFBP4,GAL3ST3,TCF21,SPNS2,FLJ32063,EFHB,RERGL,TSG1,C10orf107,PTGER1,ATOH8,AKR1C3,AFAP1L2,CHST9,CADM1,GALNT6,FGFR4,RSPH1,FGFR3,RGS9,MNS1,GPR83,TMEM26,FAM180A,LOC284578,ASRGL1,PLCB1,GPM6A,SPEF1,AQP1,ITGA8,C6orf52,PKNOX2,TNNI1,FAM183A,TAGLN3,THY1,SLC5A8,LOC400927,REPS2,CLDN19,SPNS3,LOC134466,SEC14L4,OLAH,ELFN1,HUNK,WDR65,TAL2,PROM1,KCTD16,GPER,DUSP9,RSPH4A,CNP,PHACTR1,IRX3,KLHL14,DNAJC22,PAPPA,C9orf50,DCDC1,GP2,CDO1,TSPAN8,WNK4,AVPR1B,ENKUR,SHMT1,CMAH,RALYL,MTMR11,CLDN10,DOC2B,SIM2,SCNN1G,GLB1L,ENOX1,UGT3A1,C5orf38,SEMA3G,KCNJ8,C6orf176,GUCA1C,HSPA2,IGFBP2,MAPK15,CABP1,F11,SLC45A3,MYOZ1,A4GNT,RAB7L1,NLGN3,AADACL4,ARHGEF33,AIF1L,CAPN6,SSTR2,HYDIN,TLR5,CELSR2,SYTL4,C21orf62,LRRC48,MGAT3,C1orf77,C1orf106,FBLN5,LOC153328,C6orf122,IRX1,PRUNE2,NKD1,SERPINA1,TEKT2,CD109,MGAT4C,TRIL,BNIPL,LRRC67,GPM6B,DNAH7,AACSL,SUSD4,SOX30,CAPSL,RGL1,WDR78,LOC339535,USP44,LOC723809,DTX4,LEPR,C16orf73,C2orf73,NTRK2,MSTN,?(19),SOSTDC1,PPP1R1A,BHMT2,C2orf62,PDZK1,UNCX,ATP12A,FMO2,IRX2,GABRA2,DOCK11,C6orf146,FAM81B,SLC44A4,LMO1,FIGNL2,SLC12A1,TMEM178,ID1,SAMD11,RASAL1,FOXC1,TYRP1,KBTBD11,CDKN1C,NPY1R,SLC38A5,MUC15,EDAR,CPE,ALAD,MRGPRF,GABRB2,EMCN,RASL11B,CHRD,C10orf114,LGI2,EFCAB1,C1orf186,SALL2,C2orf77,GABRB1,CLDN16,AMBP,CHDH,NPY5R,LOC441177,AMPH,TMEM176A,DCN,SPATA4,CFI,FOXJ1,DAB1,TCEAL7,IRX5,C6orf208,LOC283314,PRKCQ,GPRIN2,NAT2,SERP2,TACSTD2,NEK5,C10orf79,C16orf11,C20orf118,IQCA1,NELL1,CNTN5,NCRNA00092,TET1,DACT2,NRGN"
"hsa-miR-27b-3p","NUCB2"
"hsa-miR-24-3p","NUCB2,CR1L"
"hsa-miR-152","ASTN2"
"hsa-miR-335-3p","TBC1D14,SYT17,WBSCR17"
"hsa-miR-136-5p","TBC1D14,SYT17,FAM174A,CLIP1"
"hsa-miR-874","CYR61,SPNS2,C10orf107,PTGER1,CADM1,GALNT6,RSPH1,FGFR3,RGS9,MNS1,ASRGL1,PLCB1,SPEF1,AQP1,PKNOX2,THY1,REPS2,LOC134466,HUNK,WDR65,PROM1,RSPH4A,SEMA4A,CNP,KLHL14,DCDC1,ENKUR,MTMR11,CLDN10,DOC2B,SCNN1G,C5orf38,IGFBP2,MAPK15,MYOZ1,ARHGEF33,AIF1L,HYDIN,TLR5,SYTL4,LRRC48,C1orf77,C1orf106,FBLN5,PRUNE2,SERPINA1,TEKT2,DNAH7,CAPSL,WDR78,LOC339535,LOC723809,LEPR,C2orf73,?(19),SOSTDC1,C2orf62,FMO2,IRX2,DOCK11,SLC44A4,FIGNL2,ID1,SAMD11,RASAL1,FOXC1,KBTBD11,SLC38A5,EMCN,CHRD,C10orf114,C2orf77,FOXJ1,GPRIN2,SERP2,C10orf79,IQCA1,NRGN"
"hsa-miR-30a-5p","NAP1L4"
