"miRNA","gene","corr"
"hsa-miR-152","PON2",-0.6287618869544166
"hsa-miR-152","RAD23B",-0.6057707288343148
"hsa-miR-152","PSD3",-0.6162604493743603
"hsa-miR-152","PLCD3",-0.6507016817053253
"hsa-miR-152","ICAM1",-0.6133244882145558
"hsa-miR-152","ABTB2",-0.6132670865613182
"hsa-miR-152","MCTP2",-0.6124371866637635
"hsa-miR-152","MET",-0.641577175006463
"hsa-miR-152","BID",-0.6716310544473971
"hsa-miR-152","LGALS3",-0.6400533386968726
"hsa-miR-152","LAD1",-0.6119702464587736
"hsa-miR-152","SLC22A4",-0.6021259343691813
"hsa-miR-152","PLEKHA4",-0.6153264892453619
"hsa-miR-152","TUSC3",-0.6799139617748958
"hsa-miR-152","GGCT",-0.6031870903647969
"hsa-miR-152","MTMR11",-0.6504260590283063
"hsa-miR-152","CLEC16A",-0.6062561166952988
"hsa-miR-152","POU2F3",-0.6369530369112821
"hsa-miR-152","RARG",-0.6230646566353669
"hsa-miR-152","PROS1",-0.6379395930550505
"hsa-miR-152","LSR",-0.6254898943273999
"hsa-miR-152","SHROOM4",-0.602582878444894
"hsa-miR-152","TMEM43",-0.6006868771067073
"hsa-miR-152","GALE",-0.6787925659017031
"hsa-miR-152","SLC35F2",-0.6790555606182223
"hsa-miR-152","PDE5A",-0.6500682051288151
"hsa-miR-152","FLJ42709",-0.6115559193889669
"hsa-miR-152","MGAT4B",-0.6558531227069498
"hsa-miR-152","PAPSS1",-0.656681993745686
"hsa-miR-152","FYN",-0.6126585461620212
"hsa-miR-152","SPINT1",-0.6148663762688188
"hsa-miR-152","LIPH",-0.6283235074211013
"hsa-miR-152","GLT1D1",-0.6338731404795982
"hsa-miR-152","MFGE8",-0.6058520495655623
"hsa-miR-152","SERPINA1",-0.6014615533791894
"hsa-miR-152","MRC2",-0.6274256333038001
"hsa-miR-152","GJB3",-0.6078536351123505
"hsa-miR-152","CDC42EP1",-0.6137028114610563
"hsa-miR-152","DTX4",-0.6418035326030781
"hsa-miR-152","BMP1",-0.6110565553712258
"hsa-miR-152","P4HA2",-0.6168483244785471
"hsa-miR-152","ANKLE2",-0.6284538428766341
"hsa-miR-152","EPS8",-0.6315376425598846
"hsa-miR-152","ENDOD1",-0.6566696596971078
"hsa-miR-152","CLDN1",-0.6554209307735372
"hsa-miR-152","MEAF6",-0.6277287509341123
"hsa-miR-152","GOLT1A",-0.6469982784390761
"hsa-miR-152","LRG1",-0.6109263996686485
"hsa-miR-152","SDC4",-0.6730452596211304
"hsa-miR-152","CTTN",-0.6236823903293145
"hsa-miR-152","ECE1",-0.6365402982180265
"hsa-miR-152","RAB27A",-0.6686933997287616
"hsa-miR-152","LPAR5",-0.6272125046930032
"hsa-miR-152","PAM",-0.671896978853864
"hsa-miR-152","TOMM34",-0.6143943033330729
"hsa-miR-152","MPZL2",-0.653372055922508
"hsa-miR-152","CAMK2N1",-0.6195806005886287
"hsa-miR-152","CDH3",-0.626027919923157
"hsa-miR-152","PLEKHN1",-0.6676118000155371
"hsa-miR-152","NGEF",-0.6155031245462015
"hsa-miR-152","CFI",-0.6315911458696158
"hsa-miR-152","C6orf168",-0.6170554415210124
"hsa-miR-152","PIP5KL1",-0.6265732298978827
"hsa-miR-152","ICAM5",-0.6478639012336272
"hsa-miR-152","PDLIM4",-0.6289067011337456
"hsa-miR-152","MSN",-0.6310805715988633
"hsa-miR-152","CORO2A",-0.7098401666962999
"hsa-miR-152","PTPRE",-0.6454506740367288
"hsa-miR-152","RUNX2",-0.6323130810108297
"hsa-miR-152","CTSH",-0.6444635967233258
"hsa-miR-200c-3p","Empty 0",
"hsa-miR-1251","Empty 0",
"hsa-miR-335-3p","Empty 0",
"hsa-miR-203a","Empty 0",
"hsa-miR-29c-3p","Empty 0",
"hsa-miR-320b","Empty 0",
"hsa-miR-576-5p","Empty 0",
"hsa-miR-3607-3p","Empty 0",
"hsa-miR-30e-3p","Empty 0",
"hsa-miR-3127-5p","Empty 0",
"hsa-let-7d-3p","Empty 0",
"hsa-miR-143-5p","Empty 0",
"hsa-miR-140-5p","Empty 0",
"hsa-miR-30b-5p","Empty 0",
"hsa-miR-374a-5p","GALE",-0.6271617439430626
"hsa-miR-374a-5p","MGAT4B",-0.6060743593618096
"hsa-miR-374a-5p","P4HA2",-0.6129401830159242
"hsa-miR-374a-5p","GOLT1A",-0.6025860746116156
"hsa-miR-374a-5p","TMEM41A",-0.6226954008873209
"hsa-let-7a-3p","Empty 0",
"hsa-miR-204-5p","SPATS2L",-0.6029705583847301
"hsa-miR-1287","Empty 0",
"hsa-miR-500a-3p","Empty 0",
"hsa-miR-550a-5p","Empty 0",
"hsa-miR-181a-3p","Empty 0",
"hsa-miR-455-3p","Empty 0",
"hsa-miR-1976","Empty 0",
"hsa-let-7g-3p","Empty 0",
"hsa-let-7i-3p","Empty 0",
"hsa-miR-9-5p","Empty 0",
"hsa-miR-365a-3p","Empty 0",
"hsa-let-7d-5p","Empty 0",
"hsa-miR-423-3p","Empty 0",
"hsa-miR-145-3p","Empty 0",
"hsa-miR-181b-5p","Empty 0",
"hsa-miR-95","Empty 0",
"hsa-miR-200b-3p","Empty 0",
"hsa-miR-455-5p","Empty 0",
"hsa-let-7g-5p","Empty 0",
"hsa-miR-25-3p","Empty 0",
"hsa-miR-142-3p","Empty 0",
"hsa-miR-744-5p","Empty 0",
"hsa-miR-30c-2-3p","Empty 0",
"hsa-miR-320a","Empty 0",
"hsa-miR-1468","Empty 0",
"hsa-miR-28-5p","GALNT7",-0.6147250092789515
"hsa-miR-28-5p","PLCD3",-0.6205442576380609
"hsa-miR-28-5p","KLHL2",-0.6049967285637057
"hsa-miR-28-5p","GPRC5B",-0.614042939247173
"hsa-miR-28-5p","MGAT4B",-0.6379933292046479
"hsa-miR-28-5p","GLT1D1",-0.612604395195916
"hsa-miR-28-5p","EPS8",-0.6168853621620924
"hsa-miR-28-5p","ETV4",-0.6194461569524494
"hsa-miR-28-5p","ENDOD1",-0.6075724205665836
"hsa-miR-28-5p","CTTN",-0.6187903020732312
"hsa-miR-28-5p","ECE1",-0.6279473470617079
"hsa-miR-28-5p","RAB27A",-0.600898648659982
"hsa-miR-28-5p","ADK",-0.6236222259468979
"hsa-miR-28-5p","GLS2",-0.603880722753441
"hsa-miR-28-5p","PAM",-0.6016589507376394
"hsa-miR-28-5p","MPZL2",-0.6057841034684928
"hsa-miR-28-5p","APLP2",-0.6083102560788496
"hsa-miR-28-5p","NRCAM",-0.6023361507711983
"hsa-miR-28-5p","PLXNB2",-0.6025584060901951
"hsa-miR-28-5p","KIAA0284",-0.6198899043195302
"hsa-miR-28-3p","GALNT7",-0.6241462276439622
"hsa-miR-28-3p","RAD23B",-0.6121283325912092
"hsa-miR-28-3p","TPD52L1",-0.6197415861388227
"hsa-miR-28-3p","KLHL2",-0.6726897769759823
