"Cluster","Gene"
"HSA-MIR-196A-5P","HOXD8"
"HSA-MIR-196A-5P","HOXB7"
"HSA-MIR-196A-5P","HOXB8"
"HSA-MIR-196A-5P","MAMDC2"
"HSA-MIR-196B-5P","HOXB7"
"HSA-MIR-196B-5P","HOXB8"
"HSA-MIR-197-3P","CD82"
"HSA-MIR-198","CCND2"
"HSA-MIR-199A-3P","APOE"
"HSA-MIR-199A-3P","PTGS2"
"HSA-MIR-199A-5P","APOE"
"HSA-MIR-199A-5P","CAV1"
"HSA-MIR-199A-5P","PTGS2"
"HSA-MIR-199A-5P","WNT2"
"HSA-MIR-19A-3P","TLR2"
"HSA-MIR-19B-3P","PITX1"
"HSA-MIR-19B-3P","TLR2"
"HSA-MIR-200A-3P","HOXB5"
"HSA-MIR-200A-3P","ZEB2"
"HSA-MIR-200B-3P","HOXB5"
"HSA-MIR-200B-3P","NOTCH1"
"HSA-MIR-200B-3P","ETV5"
"HSA-MIR-200B-3P","FERMT2"
"HSA-MIR-200B-3P","ZEB2"
"HSA-MIR-200C-3P","HOXB5"
"HSA-MIR-200C-3P","NOTCH1"
"HSA-MIR-200C-3P","JAZF1"
"HSA-MIR-200C-3P","CFL2"
"HSA-MIR-200C-3P","MYLK"
"HSA-MIR-200C-3P","ZEB2"
"HSA-MIR-203A-3P","HOXD3"
"HSA-MIR-203A-3P","CAV1"
"HSA-MIR-203A-3P","WIF1"
"HSA-MIR-203A-3P","EYA4"
"HSA-MIR-203A-3P","ZEB2"
"HSA-MIR-203A-5P","CCND2"
"HSA-MIR-204-5P","MEIS2"
"HSA-MIR-204-5P","TRPM3"
"HSA-MIR-205-5P","ZEB2"
"HSA-MIR-206","CCND2"
"HSA-MIR-206","TWF1"
"HSA-MIR-20A-5P","EGLN3"
"HSA-MIR-20A-5P","CCND2"
"HSA-MIR-20A-5P","PRKG1"
"HSA-MIR-20A-5P","DUSP2"
"HSA-MIR-21-5P","TGFBR3"
"HSA-MIR-21-5P","SOX5"
"HSA-MIR-21-5P","TPM1"
"HSA-MIR-21-5P","CLU"
"HSA-MIR-21-5P","PIK3R1"
"HSA-MIR-21-5P","RECK"
"HSA-MIR-210-3P","EHD2"
"HSA-MIR-210-3P","HIF3A"
"HSA-MIR-212-3P","ABCG2"
"HSA-MIR-215-5P","ZEB2"
"HSA-MIR-218-1-3P","PIK3R1"
"HSA-MIR-218-2-3P","SLIT3"
"HSA-MIR-218-5P","HOXB3"
"HSA-MIR-219A-5P","CAMK2G"
"HSA-MIR-22-3P","CXCR2"
"HSA-MIR-22-3P","MECOM"
"HSA-MIR-22-3P","IRF5"
"HSA-MIR-221-3P","HOXB5"
"HSA-MIR-221-3P","DDIT4"
"HSA-MIR-221-3P","ZEB2"
"HSA-MIR-221-3P","PIK3R1"
"HSA-MIR-221-3P","RECK"
"HSA-MIR-222-3P","ABCG2"
"HSA-MIR-222-3P","RECK"
"HSA-MIR-223-3P","SEMA3A"
"HSA-MIR-224-5P","SERPINF2"
"HSA-MIR-224-5P","EYA4"
"HSA-MIR-23A-3P","HOXB4"
"HSA-MIR-23A-3P","HIP1R"
"HSA-MIR-23A-5P","TLR2"
"HSA-MIR-23B-3P","NOTCH1"
"HSA-MIR-24-1-5P","SLITRK1"
"HSA-MIR-24-3P","NOTCH1"
"HSA-MIR-24-3P","GATA3"
"HSA-MIR-24-3P","CHEK1"
"HSA-MIR-25-3P","CPEB1"
"HSA-MIR-25-3P","RECK"
"HSA-MIR-26A-5P","CCND2"
"HSA-MIR-26A-5P","TRPC6"
"HSA-MIR-26A-5P","PLAG1"
"HSA-MIR-26A-5P","AMACR"
"HSA-MIR-26A-5P","CHEK1"
"HSA-MIR-26A-5P","DUSP4"
"HSA-MIR-26A-5P","PTGS2"
"HSA-MIR-26B-5P","PTGS2"
"HSA-MIR-27A-3P","PLAG1"
"HSA-MIR-27A-3P","GATA3"
"HSA-MIR-27A-3P","SEMA6A"
"HSA-MIR-27A-5P","SNAP25"
"HSA-MIR-27B-3P","NOTCH1"
"HSA-MIR-27B-3P","HIP1R"
"HSA-MIR-27B-3P","SEMA6A"
"HSA-MIR-27B-3P","EYA4"
"HSA-MIR-296-5P","NOTCH1"
"HSA-MIR-29A-3P","LPL"
"HSA-MIR-29A-3P","CCND2"
"HSA-MIR-29A-3P","CLDN1"
"HSA-MIR-29A-3P","PIK3R1"
"HSA-MIR-29B-3P","CCND2"
"HSA-MIR-29B-3P","DUSP2"
"HSA-MIR-29B-3P","GATA3"
"HSA-MIR-29B-3P","PIK3R1"
"HSA-MIR-29C-3P","CCND2"
"HSA-MIR-300","ROS1"
"HSA-MIR-301A-5P","NDRG2"
"HSA-MIR-301B-5P","NDRG2"
"HSA-MIR-302B-3P","CCND2"
"HSA-MIR-302D-3P","CCND2"
"HSA-MIR-30A-3P","NOTCH1"
"HSA-MIR-30A-5P","NOTCH1"
"HSA-MIR-30A-5P","ERG"
"HSA-MIR-30A-5P","RAB38"
"HSA-MIR-30B-5P","NOTCH1"
"HSA-MIR-30B-5P","ERG"
"HSA-MIR-30C-5P","CCND2"
"HSA-MIR-30C-5P","NOTCH1"
"HSA-MIR-30C-5P","DDIT4"
"HSA-MIR-30C-5P","TWF1"
"HSA-MIR-30D-5P","NOTCH1"
"HSA-MIR-30E-5P","NOTCH1"
"HSA-MIR-31-5P","MMP16"
"HSA-MIR-31-5P","DMD"
"HSA-MIR-31-5P","SGPP2"
"HSA-MIR-31-5P","JAZF1"
"HSA-MIR-3180-5P","PODN"
"HSA-MIR-320A","HSPB6"
"HSA-MIR-320A","ABCG2"
"HSA-MIR-324-3P","WNT2B"
"HSA-MIR-324-3P","WNT9B"
"HSA-MIR-326","NOTCH1"
"HSA-MIR-328-3P","MMP16"
