"miRNA","Targets"
"hsa-miR-99b-5p","C7orf53,CCDC57"
"hsa-miR-25-3p","CGNL1"
"hsa-miR-10b-3p","STX4,SLFN13,DAGLB,HOXA3,MKS1,KIAA1609,WIPI2,NKIRAS2,MAZ,HMGB3,DDB2,SEL1L3,LRRC20,ARHGAP27,C9orf125"
"hsa-miR-10b-5p","STX4,GRB2,NOL3,GSS,TBRG4,SLFN13,ZMIZ2,DAGLB,HOXA3,MKS1,KIAA1609,AMACR,WIPI2,LOC100101266,NKIRAS2,MPV17,MAZ,C6orf174,HMGB3,NEU1,DDB2,SH2D5,SEL1L3,FZD1,LBX2,LRRC20,ARHGAP27,C9orf125"
"hsa-miR-126-5p","KIAA1609,HMGB3,DNM1"
"hsa-miR-126-3p","HMGB3,DNM1"
"hsa-miR-21-5p","KNG1,RNF150,SLC26A7,FBN3,GHR,SLC43A1,MAPK4,PTGER3,LPL,TCF21,EPHX2,DNASE1,RERGL,SFRP1,AKAP4,PTGER1,C7orf41,TMEM61,DMGDH,WDR72,STAP1,CNNM2,IQGAP2,IL13RA2,ATP6V0D2,LOC284578,CLIC5,CLCNKB,HRG,HADH,GPM6A,HMGCS2,PRDM16,AGPAT9,TNNI1,NDST3,ADH1C,NHLRC4,SYP,ATP6V1C2,C1QTNF7,ATP6V1G3,ADI1,CLDN19,TMEM213,ATP1B2,SLC9A4,CRHBP,DUSP9,MOCS1,C12orf59,EHD3,DNASE1L3,SEPP1,NUAK2,CYFIP2,ATP6V0A4,SLC2A12,MPPED2,NDRG2,DNAJC11,LOC25845,UNC5C,CCBE1,GPR98,WNK4,TFAP2B,PGR,RALYL,NEURL,ZNF44,NAT8L,KCNJ10,SLC4A1,SEMA3G,TBC1D13,PSKH2,GCGR,LOC389493,F11,CDC14A,CGNL1,PARM1,PBLD,C12orf34,MYOZ2,FGF9,SSTR2,BSND,PRKCE,TPPP2,CLNK,KIF26A,CLDN8,UNC45B,ACADSB,OPCML,KIT,MYO3B,FLRT1,A2LD1,SEMA6D,HSD11B2,EGF,ESRRB,CNTN1,KLHL33,DMRT2,FOXI1,MFSD4,LPPR1,SYT7,SPSB4,C1orf64,WNK1,ACPP,TMPRSS2,NTRK2,CEL,GPR116,ERP27,WBSCR17,ESRRG,HS6ST2,PIK3C2G,GPR155,ADAMTSL1,ATP6V1B1,ATP12A,IRX2,LOC340094,C6orf146,C9orf84,SLC12A1,SELP,TMEM178,FECH,ITPKB,SLC4A9,TRPM3,MUC15,CASR,RHCG,ALAD,RNF152,EMCN,RASL11B,NFASC,FRMD7,SLC9A3,LOC643008,PVALB,GPC5,NEGR1,PDZD2,SERPINA5,PRLR,UBE2QL1,CLDN16,NPHS2,RHBG,SORD,PCDH9,HEPACAM2,KCNE1,PODXL,ESAM,OXGR1,FOLR3,SOST,GPR182,INPP5J,C16orf11,C16orf89,TMEM72,NELL1,UPF0639,KCNJ1,ST6GALNAC3"
"hsa-let-7e-3p","MPV17,LRRC20"
"hsa-miR-139-5p","SEZ6L2,DAGLB,KIAA1609,NKIRAS2,MAZ,HMGB3,LRRC20,DNM1"
